,userID,Rating,Recommendation
0,1,5.2602925300598100,Customer Telco Reports
1,1,5.148690700531010,DTH Performance Yearly
2,1,5.040548324584960,3G Rural
3,1,5.024792671203610,Local Telco Hotspots
4,1,5.011912822723390,Digital Trends
5,1,5.006377220153810,Offline Music Packs
6,1,5.004488468170170,Fiber National
7,1,4.986505508422850,Prepaid Premium
11,2,5.048501491546630,Local Telco Hotspots
12,2,4.9945526123046900,Unlimited Data Plans
13,2,4.9718403816223100,Local DSL
14,2,4.943021774291990,Telco Churn Prevention Report
15,2,4.9376373291015600,Telco Microsegments
16,2,4.9292683601379400,Local Telco Hotspots
17,2,4.904297828674320,Digital Trends - Mary Meeker
18,2,4.902374267578130,4G LTE
19,2,4.852604866027830,Postpaid Platinum
20,3,4.7201714515686000,Prepaid Analysis Report
21,3,4.672520637512210,National Telco Hotspots
22,3,4.66519832611084,Unlimited Data Plans
23,3,4.6455607414245600,Local DSL
26,3,4.542652606964110,Digital Trends - Mary Meeker
30,4,5.882082939147950,Unlimited Data Plans
31,4,5.816211700439450,Digital Trends - Mary Meeker
32,4,5.8096699714660600,Local Telco Hotspots
33,4,5.710696697235110,Local DSL
35,4,5.635797500610350,Prepaid Analysis Report
36,4,5.614356517791750,Customer Portfolio Manager
37,4,5.587596893310550,Dealer Wireless
38,4,5.570871353149410,DTH Performance Yearly